Date,Day,Status,In Time,Out Time,Total Hours,Total Attendance Hours,Total Time Sheet Hours,Attendance status implying leave debit
17-Oct-14,Friday,Present,9:25,23:17,13.87,13.87,NA,No leave debit
18-Oct-14,Saturday,Weekly Off,--,--,--,0,NA,NA
19-Oct-14,Sunday,Weekly Off,--,--,--,0,NA,NA
20-Oct-14,Monday,Present,8:46,18:02,9.27,9.27,NA,No leave debit
21-Oct-14,Tuesday,Present,8:33,18:30,9.95,9.95,NA,No leave debit
22-Oct-14,Wednesday,Present,9:31,17:45,8.23,8.23,NA,No leave debit
23-Oct-14,Thursday,Holiday,--,--,--,0,8:48,NA
24-Oct-14,Friday,Earned Leave,--,--,--,0,8:48,NA
25-Oct-14,Saturday,Weekly Off,--,--,--,0,NA,NA
26-Oct-14,Sunday,Weekly Off,--,--,--,0,NA,NA
27-Oct-14,Monday,Present,9:15,19:36,10.35,10.35,NA,No leave debit
28-Oct-14,Tuesday,Present,10:16,18:59,8.72,8.72,NA,No leave debit
29-Oct-14,Wednesday,Present,9:43,18:34,8.85,8.85,NA,No leave debit
30-Oct-14,Thursday,Present,9:30,18:39,9.15,9.15,NA,No leave debit
31-Oct-14,Friday,Present,9:36,19:05,9.48,9.48,NA,No leave debit
1-Nov-14,Saturday,Weekly Off,--,--,--,0,NA,NA
2-Nov-14,Sunday,Weekly Off,--,--,--,0,NA,NA
3-Nov-14,Monday,Present,8:46,18:26,9.67,9.67,NA,No leave debit
4-Nov-14,Tuesday,Present,9:17,18:42,9.42,9.42,NA,No leave debit
5-Nov-14,Wednesday,Present,10:00,19:15,9.25,9.25,NA,No leave debit
6-Nov-14,Thursday,Present,9:49,18:20,8.52,8.52,NA,No leave debit
7-Nov-14,Friday,Present,9:47,18:27,8.67,8.67,NA,No leave debit
8-Nov-14,Saturday,Weekly Off,--,--,--,0,NA,NA
9-Nov-14,Sunday,Weekly Off,--,--,--,0,NA,NA
10-Nov-14,Monday,Present,9:14,18:29,9.25,9.25,NA,No leave debit
11-Nov-14,Tuesday,Present,9:35,18:59,9.4,9.4,NA,No leave debit
12-Nov-14,Wednesday,Present,9:40,18:16,8.6,8.6,NA,No leave debit
13-Nov-14,Thursday,Present,9:26,17:55,8.48,8.48,NA,No leave debit
14-Nov-14,Friday,Present,9:31,19:21,9.83,9.83,NA,No leave debit
15-Nov-14,Saturday,Weekly Off,--,--,--,0,NA,NA
16-Nov-14,Sunday,Weekly Off,--,--,--,0,NA,NA
17-Nov-14,Monday,Present,9:36,18:25,8.82,8.82,NA,No leave debit
18-Nov-14,Tuesday,Present,8:51,19:04,10.22,10.22,NA,No leave debit
19-Nov-14,Wednesday,Present,9:53,18:24,8.52,8.52,NA,No leave debit
